strategy,spans,distance_km,minimum_gsnr_db,mean_gsnr_db,gsnr_std_db,metric_basis,gross_line_tbps,net_line_tbps,air_tbps,thresholded_net_capacity_tbps,working_channels,working_fraction,minimum_ngmi,mean_ngmi
flat,1,80.0,23.50172069836958,28.71465973260501,2.302468954539578,calibrated_receiver,26.88,21.504,26.879999936225666,21.504,105,1.0,0.9998697676118882,0.999995064231309
flat,2,160.0,20.633064394028047,26.214993582309454,2.491062049930138,calibrated_receiver,26.88,21.504,26.87946676497126,21.504,105,1.0,0.9991200034535855,0.9998768508878412
flat,3,240.0,18.91622502853403,24.609608890993883,2.548079938220785,calibrated_receiver,26.88,21.504,26.877339453612176,21.504,105,1.0,0.9983526536728982,0.9997608213441944
fixed,1,80.0,25.273079231925383,29.34601063649471,1.921769375644813,calibrated_receiver,26.88,21.504,26.879999999891062,21.504,105,1.0,1.0,1.0
fixed,2,160.0,22.425556492131836,26.925787663791073,2.1586459429317926,calibrated_receiver,26.88,21.504,26.87999152009602,21.504,105,1.0,0.9995884967782006,0.9999542579228505
fixed,3,240.0,20.69945342472005,25.352227577449952,2.246198247266669,calibrated_receiver,26.88,21.504,26.879355437403063,21.504,105,1.0,0.9991373551717548,0.9998545322922975
adaptive,1,80.0,25.602335281808045,29.28676543732017,2.1731805838102183,calibrated_receiver,26.88,21.504,26.879999999944605,21.504,105,1.0,1.0,1.0
adaptive,2,160.0,22.729831383514494,26.884635365024298,2.5282294734983375,calibrated_receiver,26.88,21.504,26.879996015309743,21.504,105,1.0,0.9996680233521874,0.9999517207093277
adaptive,3,240.0,20.982964902910272,25.32382665457367,2.678833131088721,calibrated_receiver,26.88,21.504,26.879368024160012,21.504,105,1.0,0.9992114549321522,0.999822654983251
