input_snr_db,repeats,measured_snr_db,measured_snr_std_db,ngmi,ngmi_std,ber,acquisition_fraction
6.5,2,6.709472069753558,0.15627198633685263,0.5065618247129495,0.014584000279336427,0.15806631892697465,1.0
6.75,2,6.709472069753558,0.23480715841885116,0.5065618247129495,0.020426881703793035,0.15508569299552907,1.0
7.0,2,7.100411806722608,0.10581142358370196,0.5392006391822601,0.007700021742781096,0.14275956284153007,1.0
7.25,2,7.100411806722608,0.0017721251013568893,0.5392006391822601,0.0035251481034401042,0.1448087431693989,1.0
7.5,1,7.320142794050306,,0.5568198157207214,,0.13741927471435667,1.0
7.75,2,7.459785323281261,0.1495958026477752,0.5679256205710193,0.011065645359506238,0.13322776949826132,1.0
8.0,2,7.844782541045819,0.14905645088276154,0.5977508058481737,0.005255047743137707,0.12024962742175857,1.0
8.25,1,7.9830153102788834,,0.6046494462553352,,0.12015648286140089,1.0
8.75,1,8.74817323841761,,0.6656445407057094,,0.0987953303527074,1.0
9.0,1,8.74817323841761,,0.6656445407057094,,0.1126428216592151,1.0
9.25,3,8.889670571943356,0.06842000068895587,0.6771007461263459,0.006330256125614493,0.09515234310316278,1.0
9.5,2,8.889670571943356,0.40865003459054977,0.6771007461263459,0.028144446904947863,0.09649776453055142,1.0
9.75,3,9.01626119662702,0.20428489507156802,0.6864025660741081,0.016009048104408456,0.09165424739195231,1.0
10.0,3,9.607357856230566,0.24710570611143307,0.7283216942632308,0.016561939477328102,0.07888309322735552,1.0
10.25,3,9.607357856230566,0.6323961730306232,0.7283216942632308,0.045170789163524266,0.08252608047690015,1.0
10.5,2,9.947444582368998,0.1519555847995497,0.7507448912508594,0.011512343452995599,0.0703241430700447,1.0
10.75,3,10.061376940405987,0.2888022813364348,0.7558145783252513,0.022485174927261768,0.06857509521443948,1.0
11.0,3,10.061376940405987,0.4327057030669697,0.7587610293588081,0.03391808548301607,0.06569796323894685,1.0
11.25,2,10.63260964858759,0.13810480144827317,0.8002207310455722,0.0053075427953930155,0.05563835072031793,1.0
11.5,3,10.63260964858759,0.5002352796552609,0.8002207310455722,0.028436250226604447,0.05737704918032788,1.0
11.75,3,10.734467427593573,0.5054134773756758,0.8002207310455722,0.040236550968522855,0.05321659215101838,1.0
12.0,2,11.21883410963656,0.0611310202955243,0.8349239678355953,0.00878381352996738,0.04452309985096871,1.0
12.25,3,11.219345182387073,0.15835647226407756,0.8349239678355953,0.012807556351497093,0.04408842523596621,1.0
12.5,3,11.535819794093781,0.15560199709966765,0.8497490115654807,0.011310858299331832,0.03941049842689187,1.0
12.75,3,11.889741125253629,0.2502124707687677,0.8700595615659203,0.011602032003934603,0.03535353535353535,1.0
13.0,3,12.283706334079817,0.2449754358465642,0.891893875224221,0.008950536817344626,0.028792018546116904,1.0
13.25,3,12.4807756553764,0.1361389002123053,0.9007702068062269,0.008454476472785539,0.026183970856102006,1.0
13.5,3,12.481869429358431,0.24677556387983682,0.9007702068062269,0.011899810460800832,0.025687199867527735,1.0
13.75,3,12.856325410684695,0.37095534958448645,0.9147329109754178,0.014906803133888778,0.021236959761549924,1.0
14.0,3,13.363134443218621,0.12744584588185387,0.9344593465768476,0.005821495511512558,0.017200695479384003,1.0
14.25,3,13.363134443218621,0.02877743751786913,0.9344593465768476,0.003437035564046416,0.01819423745653254,1.0
14.5,3,13.396495859496582,0.5487125669553633,0.9346186751776863,0.024195439662174106,0.01633134624937904,1.0
14.75,3,13.766289581532936,0.32115893132322065,0.9484530882867442,0.012565562743934292,0.013123033614836894,1.0
15.0,3,13.766289581532936,0.07375262106878477,0.9484530882867442,0.003375063510778694,0.014157973174366617,1.0
15.25,3,14.101381451790926,0.18176628803991424,0.9577264844697595,0.00619701049270742,0.010577082298393775,1.0
15.5,3,14.282575362005547,0.3466855275317902,0.9621696421550666,0.009760228794159404,0.009852624606722968,1.0
15.75,3,14.86647432629139,0.24611263785870888,0.974155440141014,0.0031975861465842552,0.006540818016227853,1.0
16.0,3,15.058677373917211,0.3011806025257761,0.9791010627724986,0.00518471068436958,0.005133300215267428,1.0
16.25,3,15.205011761864165,0.15152356074978393,0.9815280973805813,0.0025491205152844633,0.004491637688359001,1.0
16.5,3,15.205011761864165,0.30392969426332,0.9815280973805813,0.004982020774136286,0.00527819175360159,1.0
16.75,3,15.415142494733331,0.3628726989131777,0.982674257675323,0.008791839941249303,0.004201854611690678,1.0
17.0,3,15.558998763804112,0.08207884170203526,0.9855036456240919,0.001544680456100258,0.0036222884583540327,1.0
17.25,3,15.976100456682163,0.18428738421163826,0.9909803601358819,0.002415587583917795,0.0023596621957277697,1.0
17.5,3,15.976100456682163,0.3869052724814988,0.9909803601358819,0.014471440919450138,0.004408842523596621,1.0
17.75,3,16.48375053925879,0.12981118249876902,0.9946284187947457,0.0006566602369228748,0.0011384335154826957,1.0
18.0,3,16.492298267713853,0.08106925637359648,0.9946284187947457,0.0017990713147250715,0.0015317105481039907,1.0
19.0,3,17.56450367286911,0.2318401679887608,0.9986931788287641,0.0004193428757023269,0.00028978307666832257,1.0
24.0,3,21.196582011792227,0.12906744279670979,1.0,0.0,0.0,1.0
29.0,3,23.413075936725022,0.4751882169306589,1.0,0.0,0.0,1.0
34.0,3,24.497304689539835,0.05265337738748243,1.0,0.0,0.0,1.0
