strategy,spans,distance_km,band,channels,minimum_gsnr_db,mean_gsnr_db,minimum_ngmi,mean_ngmi,working_fraction,metric_basis
flat,1,80.0,L,36,29.748152758111456,29.977033850380778,1.0,1.0,1.0,calibrated_receiver
flat,1,80.0,C,22,30.21450155067095,30.44444517978469,1.0,1.0,1.0,calibrated_receiver
flat,1,80.0,S,47,23.50172069836958,26.938048071373515,0.9998697676118882,0.9999889732827119,1.0,calibrated_receiver
flat,2,160.0,L,36,27.322338619294197,27.561779416838093,1.0,1.0,1.0,calibrated_receiver
flat,2,160.0,C,22,27.826211348993176,28.11302286672334,1.0,1.0,1.0,calibrated_receiver
flat,2,160.0,S,47,20.633064394028047,24.29497370358314,0.9991200034535855,0.9997248796430491,1.0,calibrated_receiver
flat,3,240.0,L,36,25.740220790273106,25.97638017943232,1.0,1.0,1.0,calibrated_receiver
flat,3,240.0,C,22,26.246435283561603,26.558873418390036,1.0,1.0,1.0,calibrated_receiver
flat,3,240.0,S,47,18.91622502853403,22.6502985508556,0.9983526536728982,0.999465664705115,1.0,calibrated_receiver
fixed,1,80.0,L,36,29.700669906901858,30.73398978254596,1.0,1.0,1.0,calibrated_receiver
fixed,1,80.0,C,22,30.502187357185022,30.663317413052336,1.0,1.0,1.0,calibrated_receiver
fixed,1,80.0,S,47,25.273079231925383,27.666265990917847,1.0,1.0,1.0,calibrated_receiver
fixed,2,160.0,L,36,27.351623885386438,28.53054719945968,1.0,1.0,1.0,calibrated_receiver
fixed,2,160.0,C,22,28.189341747847465,28.384919247322706,1.0,1.0,1.0,calibrated_receiver
fixed,2,160.0,S,47,22.425556492131836,25.01361238460458,0.9995884967782006,0.9998978102531765,1.0,calibrated_receiver
fixed,3,240.0,L,36,25.826141114324198,27.04714060117072,1.0,1.0,1.0,calibrated_receiver
fixed,3,240.0,C,22,26.644636349609165,26.854112376572257,1.0,1.0,1.0,calibrated_receiver
fixed,3,240.0,S,47,20.69945342472005,23.35098641926616,0.9991373551717548,0.9996750189508773,1.0,calibrated_receiver
adaptive,1,80.0,L,36,29.2388409522535,30.89797735488741,1.0,1.0,1.0,calibrated_receiver
adaptive,1,80.0,C,22,30.55781310412479,31.320979519781414,1.0,1.0,1.0,calibrated_receiver
adaptive,1,80.0,S,47,25.602335281808045,27.100460355478287,1.0,1.0,1.0,calibrated_receiver
adaptive,2,160.0,L,36,26.82766345370064,28.78898926417632,1.0,1.0,1.0,calibrated_receiver
adaptive,2,160.0,C,22,28.285992550250164,29.257285478873122,1.0,1.0,1.0,calibrated_receiver
adaptive,2,160.0,S,47,22.729831383514494,24.315379133659476,0.9996680233521874,0.9998921420102002,1.0,calibrated_receiver
adaptive,3,240.0,L,36,25.280765447937377,27.36070135428354,1.0,1.0,1.0,calibrated_receiver
adaptive,3,240.0,C,22,26.766503206286366,27.83361456208404,1.0,1.0,1.0,calibrated_receiver
adaptive,3,240.0,S,47,20.982964902910272,22.588872970429343,0.9992114549321522,0.9996038036859862,1.0,calibrated_receiver
