band,operating_point,repeat,seed,channel,wavelength_nm,spans,distance_km,analytical_gsnr_db,b2b_expected_receiver_snr_db,acquisition_success,cycle_slips,training_symbols,payload_symbols,failure_reason,sample_snr_db,snr_ci95_low_db,snr_ci95_high_db,sample_ber,sample_gmi,sample_ngmi,snr_consistency_error_db
S,high_margin,0,20280718,58,1528.8695276446808,3,240.0,25.099821487693163,21.684131540988716,True,0,541,2013,,21.87828498437804,,,0.0,4.0,1.0,0.19415344338932528
S,near_threshold,0,20281718,102,1463.20402383165,3,240.0,20.982964902910272,19.00496044701015,True,0,541,2013,,18.979674874715933,,,6.209637357178341e-05,3.999412911420149,0.9998532278550373,-0.025285572294215797
S,below_threshold,0,20282718,102,1463.20402383165,3,240.0,20.982964902910272,19.00496044701015,True,0,541,2013,,19.01221315234254,,,6.209637357178341e-05,3.999013056360928,0.999753264090232,0.007252705332390974
C,high_margin,0,20283718,36,1563.9632091830617,3,240.0,28.26345673253916,23.0865672011696,True,0,541,2013,,23.170867893827047,,,0.0,4.0,1.0,0.08430069265744677
C,near_threshold,0,20284718,57,1530.4304932279274,3,240.0,26.766503206286366,22.422969521800393,True,0,541,2013,,23.089601824883474,,,0.0,4.0,1.0,0.6666323030830803
C,below_threshold,0,20285718,57,1530.4304932279274,3,240.0,26.766503206286366,22.422969521800393,True,0,541,2013,,23.10015307196768,,,0.0,4.0,1.0,0.6771835501672854
L,high_margin,0,20286718,28,1577.127351714104,3,240.0,28.151166958720033,23.03678928086917,True,0,541,2013,,23.674440761758195,,,0.0,4.0,1.0,0.6376514808890263
L,near_threshold,0,20287718,0,1625.0,3,240.0,25.280765447937377,21.76434377871563,True,0,541,2013,,21.7674602448435,,,0.0,4.0,1.0,0.003116466127870865
L,below_threshold,0,20288718,0,1625.0,3,240.0,25.280765447937377,21.76434377871563,True,0,541,2013,,22.0366348550904,,,0.0,4.0,1.0,0.27229107637477057
