channel,band,wavelength_nm,launch_power_dbm,span_output_power_dbm,no_isrs_output_power_dbm,differential_isrs_db,amplifier_residual_db
0,C,1550.6158912890319,-3.35677925421729,-9.79712768974655,-18.488889308323074,8.691761618576527,0.0
1,C,1550.2149826065752,-3.2067792542172895,-9.624801776557412,-18.331709246163502,8.706907469606088,0.0
2,C,1549.8142811788327,-3.05677925421729,-9.468932026127701,-18.190592785960117,8.721660759832416,0.0
3,C,1549.4137868451314,-2.9067792542172897,-9.33205345259445,-18.06806001666862,8.736006564074172,0.0
4,C,1549.0134994449645,-2.75677925421729,-9.19555134588592,-17.945481420088125,8.749930074202204,0.0
5,C,1548.6134188179913,-2.60677925421729,-9.059443273514528,-17.822859810979427,8.763416537464899,0.0
6,C,1548.213544804036,-2.4567792542172895,-8.92374660469982,-17.70019810556499,8.776451500865171,0.0
7,C,1547.8138772430889,-2.30677925421729,-8.788478506024632,-17.577499322276882,8.78902081625225,0.0
8,C,1547.4144159753055,-2.1567792542172897,-8.653655940874604,-17.45476658258164,8.801110641707039,0.0
9,C,1547.0151608410054,-2.00677925421729,-8.519295672573902,-17.33200311188631,8.812707439312405,0.0
10,C,1546.6161116806743,-1.8567792542172898,-8.385414271105429,-17.209212240529236,8.82379796942381,0.0
11,C,1546.2172683349609,-1.70677925421729,-8.252028123280828,-17.08639740486024,8.834369281579411,0.0
12,C,1545.8186306446798,-1.55677925421729,-8.11915344620215,-16.963562148413097,8.844408702210945,0.0
13,C,1545.4201984508086,-1.4067792542172897,-7.9868063038367945,-16.840710123175,8.853903819338205,-4.440892098500626e-16
14,C,1545.0219715944893,-1.2567792542172898,-7.85500262650566,-16.717845090955763,8.862842464450102,0.0
15,C,1544.623949917027,-1.1067792542172898,-7.723758233066968,-16.594970924860903,8.871212691793936,0.0
16,C,1544.2261332598914,-0.9567792542172902,-7.59308885555946,-16.472091610871615,8.879002755312154,0.0
17,C,1543.8285214647144,-0.80677925421729,-7.4630101660540715,-16.349211249535415,8.886201083481344,5.551115123125783e-16
18,C,1543.4311143732916,-0.6567792542172901,-7.333537805447624,-16.226334057770156,8.892796252322531,0.0
19,C,1543.0339118275813,-0.5067792542172901,-7.204687413920912,-16.103464370785108,8.898776956864197,0.0
20,C,1542.636913669704,-0.35677925421729006,-7.076474662771811,-15.980606644121877,8.904131981350066,0.0
21,C,1542.2401197419435,-0.20677925421729004,-6.94891528732596,-15.857765455818162,8.908850168492203,0.0
22,C,1541.843529886745,-0.05677925421729002,-6.822025120620553,-15.734945508697603,8.91292038807705,0.0
23,C,1541.4471439467163,0.09322074578270989,-6.695820127551602,-15.612151632788082,8.91633150523648,0.0
24,C,1541.050961764627,0.24322074578271002,-6.570316439172763,-15.489388787871711,8.919072348698949,0.0
25,C,1540.6549831834075,0.39322074578270994,-6.445530386832465,-15.366662066169061,8.921131679336597,0.0
26,C,1540.2592080461504,0.5432207457827098,-6.321478535837462,-15.243976695160192,8.92249815932273,0.0
27,C,1539.8636361961098,0.6932207457827098,-6.198177718334171,-15.121338040545293,8.923160322211123,0.0
28,C,1539.4682674766998,0.8432207457827101,-6.075645065104406,-14.998751609347437,8.92310654424303,0.0
29,C,1539.0731017314956,0.99322074578271,-5.953898035978962,-14.87622305315983,8.922325017180867,0.0
30,C,1538.6781388042334,1.1432207457827102,-5.832954448581833,-14.753758171540166,8.920803722958333,0.0
31,C,1538.2833785388095,1.29322074578271,-5.712832505128858,-14.631362915554478,8.918530410425618,0.0
32,C,1537.8888207792802,1.44322074578271,-5.593550817016934,-14.509043391472831,8.915492574455897,-8.881784197001252e-16
33,C,1537.494465369862,1.5932207457827103,-5.4751284269545195,-14.386805864619163,8.911677437664643,0.0
34,C,1537.1003121549306,1.7432207457827098,-5.3575848284004115,-14.264656763377715,8.907071934977305,-6.661338147750939e-16
35,C,1536.7063609790223,1.8932207457827102,-5.240939982094794,-14.142602683358119,8.901662701263325,0.0
36,C,1536.3126116868318,2.0432207457827105,-5.125214329486071,-14.0206503917216,8.89543606223553,-4.440892098500626e-16
37,C,1535.919064123213,2.19322074578271,-5.010428802876719,-13.89880683167036,8.88837802879364,0.0
38,C,1535.5257181331795,2.3432207457827103,-4.896604832133159,-13.777079127102304,8.880474294969147,4.440892098500626e-16
39,C,1535.1325735619027,2.49322074578271,-4.783764347826959,-13.655474587433394,8.871710239606434,4.440892098500626e-16
40,C,1534.7396302547133,2.64322074578271,-4.671929780697824,-13.534000712589595,8.862070931891772,0.0
